,News,Label
336,India proposes new rules to push green energy use in industries,0
792,Reliance joins calls for India to tighten marketplace rules -sources,0
997,"Walmart's Flipkart, Amazon challenge India court order on antitrust probe",1
74,India's trade minister to meet Chinese counterpart on Tuesday,0
230,Amazon accepts Visa credit cards in global truce over fees,1
1488,5th Circuit weighs Amazon's liability for third-party seller's product,1
28,Amazon reaches agreement with trade unions in Italy,1
1276,Amazon sues EU antitrust regulators for letting Italian case go ahead,1
385,Amazon loses bid to stop New York from probing COVID-19 standards,1
1208,"India e-commerce rules cast cloud over Amazon, Walmart and local rivals",1
622,Dozens released after protest at India plant of Apple supplier Foxconn,0
226,India shuts last consulate in Afghanistan and evacuates citizens,0
241,Blinken to visit India with vaccines and China in focus,0
1340,Oxygen from Venezuela arrives in Amazon city for COVID-19 patients,1
452,Call for Amazon to consider blue-collar director wins 17% support,1
1003,REFILE-ANALYSIS-Outage shows how Amazon's complex cloud makes backup plans difficult,1
1474,"S.Africa's Naspers hires Airbnb, Amazon veteran to lead global classifieds business",1
1183,Amazon issues rare apology in India after complaints that series hurt Hindu beliefs,1
1633,Indian court restrains Future chief from selling assets in dispute with Amazon,1
675,"India's power demand growth slows in November, helping ease coal shortage",0
1036,UPDATE 1-Brazil renews protection of little-seen Amazon tribe for six months,1
1311,Amazon India launches online academy to coach future engineers,1
330,Exclusive-Bayer revives plan to introduce new GM cotton seeds in India,0
4,Ford to stop making cars in India,0
450,India says reviewing procedures after missile accidentally fired into Pakistan,0
305,India court orders antitrust body to rule on Amazon-Future dispute within two weeks,1
1251,Special Report: Amazon documents reveal company's secret strategy to dodge India's regulators,1
332,India's Jan trade deficit at $17.42 billion - trade ministry,0
1346,Amazon and Nestle join public-private plan to save world's forests,1
3,D.C. attorney general broadens Amazon lawsuit,1
292,"India's daily COVID-19 cases rise by 41,383",0
1415,Amazon workers in Germany extend strike,1
754,"Wall Street shakes off Amazon, Apple weakness to end modestly higher",1
801,USTR says moving to terminate India trade retaliation after tax agreement,0
1482,Amazon calls on India not to alter e-commerce investment rules -sources,1
540,India seeks to move coal to areas of shortage as power demand rises,0
444,"Amazon, Apple not to charge extra for lossless music",1
643,UPDATE 3-U.S. opens probe into Amazon warehouse fatal collapse in Illinois,1
1167,Wall Street falls with Amazon; S&P 500 posts sixth straight month of gains,1
725,"Peloton surges on reports of buyout interest from Amazon, Nike",1
426,"India to expedite Amazon, Flipkart antitrust probe as tech focus intensifies - sources",1
1012,INSIGHT-Brazil's Bolsonaro obstructs environmental fines key to protecting Amazon,1
571,EXCLUSIVE-India presses Qatar for delayed LNG as power crisis mounts -sources,0
1018,Del. judge says Amazon self-driving vehicle unit must provide some merger records,1
1447,"UPDATE 2-Union's evidence in Amazon vote 'could be grounds for overturning election', U.S. Labor Board says",1
15,Amazon to fully fund college tuition for frontline employees,1
661,Deforestation in Brazil's Amazon hits second straight monthly record,1
391,Amazon looking at opening pharmacy stores in U.S. - Insider,1
225,Amazon to divert freight as some Chinese cities go under lockdown,1
505,Amazon's holiday-quarter forecast disappoints,1
720,"Chip shortage pushes Reliance, Google to delay India smartphone launch",0
810,CORRECTED (OFFICIAL)-India's Serum Institute exports first Novavax shot,0
1322,Amazon is prescription for pharmacy woes,1
484,"Exclusive: India to expedite Amazon, Flipkart antitrust probe as tech focus intensifies -sources",1
177,"India reports 42,625 new coronavirus cases",0
109,Amazon takes another swipe at union as Alabama rematch looms,1
262,Amazon orders employees to wear masks regardless of vaccination status - Bloomberg News,1
358,India police to question Amazon executives in probe over marijuana smuggling,0
606,Olympics-India won't send diplomat after Games 'politicized' by China,0
103,"India cenbank committed to inflation target, says chief",0
279,"Ferrari, Amazon's AWS enter agreement on data",1
810,US STOCKS-Futures bolstered by Amazon results ahead of jobs report,1
841,REFILE-Foreign carmakers interested in Ford plant in India - state minister,0
482,Big U.S. retailers line up deals to take on Amazon Prime Day frenzy,1
827,India's new COVID-19 cases jump to two-month high,0
784,India antitrust body says Reuters story corroborates evidence in probe of Amazon,1
1132,India's Future Group shares fall after court decision on Amazon arbitration appeal,1
809,India's Modi orders review of reopening on Omicron COVID concerns,0
1494,Amazon launches a speaker you can talk to,1
207,India urges ceasefire in Ukrainian city to evacuate students,0
161,Amazon could face claims by U.S. agency over union supporter's firing,1
1038,Amazon challenges India's antitrust suspension of 2019 Future deal-sources,0
966,India's Bharat Biotech says supply chains not impacted by Russia-Ukraine conflict,0
255,"India antitrust body fines United Breweries, Carlsberg in price fixing case",0
211,Kerala's COVID-19 lessons for India and Modi's government,0
1369,BRIEF-Amazon Working On Consolidation Of Amazon Prime Now And AmazonFresh -Yahoo Finance,1
876,Future Group stocks surge 20% after India suspends 2019 Amazon deal,1
383,India's Future files new case against Amazon in top court over $3.4 billion retail deal,1
558,India's finmin says central bank to launch digital cryptocurrency,0
282,Jeep to launch two new SUVs in India to boost sales,0
871,India's Bharti Airtel to invest $673 million on data centre expansion,0
1385,California urges court to compel Amazon to comply with coronavirus probe,1
328,Amazon must face biometric privacy lawsuit over COVID-19 health checks,1
940,Amazon weighing entry into physical pharmacy stores - Insider,1
76,"New York accuses Amazon of backsliding over worker safety, seeks monitor",1
543,COP26: India says after discussion proposes new wording for text,0
524,Fires in Colombia's Amazon spark alarm over deforestation,1
867,UPDATE 2-Future Group stocks surge 20% after India suspends 2019 Amazon deal,1
515,"Sony, Zee lock India merger to create mega TV network",0
7,India's Omicron cases jump to 101,0
524,Foreign direct investment into India to stay robust - Deloitte survey,0
800,India's parliament passes bill to repeal controversial farm laws,0
446,Amazon reviewing bids to replace JPMorgan as credit card partner - source,1
1386,Amazon launches in Turkey,1
1498,"S&P 500 rides Microsoft, Amazon to record close above 4,000",1
57,Coal India plans to increase prices 'slowly',0
1422,UPDATE 2-E-commerce pioneer Wenzel launches 'Amazon on steroids',1
1478,Amazon calls on India not to alter e-commerce investment rules -sources,1
221,Everyone wins in India’s telecoms debt reset,0
8,India's Omicron cases jump to 101,0
531,Reliance joins calls for India to tighten marketplace rules -sources,0
199,UPDATE 1-Amazon shareholders call for tax disclosures - adviser,1
1392,"UPDATE 6-Amazon expects spring windfall as U.S. economy reopens, posts record profits",1
985,India's Russian coal imports could be highest in over two years in March,0
1083,"Amazon, Apple not to charge extra for lossless music",1
705,India to announce scheduled international flights resumption 'in due course',0
138,"Amazon's holiday-quarter forecast disappoints as labor, supply issues mount",1
90,"Amazon partnered with China propaganda arm to win Beijing's favor, document shows",1
1631,France's Monoprix working on expanding grocery alliance with Amazon,1
220,"Amazon, Whole Foods can be sued by murderer rejected for delivery job",1
1030,At least three killed in rail accident in India's West Bengal state,0
979,"India's Serum Institute to boost vaccine exports gradually, report says",0
656,"Cricket-India must improve through the middle overs, says Dravid",0
530,India's new COVID-19 cases jump to two-month high,0
65,"India reports 41,965 new COVID-19 cases",0
1507,Emerging Europe.com bolsters defences as Amazon enters Poland,1
1403,BRIEF- Amazon Web Services Inc Announces Amazon Guardduty,1
1421,German watchdog launches new investigation into Amazon: report,1
170,India's factory activity improved in Sept as demand strengthened,0
74,RPT-Amazon sues financial crime agency in latest twist of Indian battle,1
152,"India bonds, rupee gain; federal budget in focus",0
195,India's HMEL to start Bathinda cracker by March 2022,0
459,India likely to allow export of Sputnik Light COVID shot this month - sources,0
984,Amazon's new Polish site goes live as online competition grows,1
777,"US STOCKS-Nasdaq scales record peak ahead of Apple, Amazon results",1
949,"Parler sues Amazon again, alleging effort to 'destroy' app",1
132,Amazon sued by warehouse workers over COVID-19 screening pay,1
1168,"Deforestation in Brazil's Amazon worsened in recent months, vice president says",1
969,India spends record $55.7 billion on gold imports in 2021 - govt source,0
521,Fires in Colombia's Amazon spark alarm over deforestation,1
959,Congressional delegation heads to Alabama amid growing support for Amazon workers,1
789,"India shares slip for fourth day as energy, bank stocks weigh",0
667,"Judge tackles scope of biometric privacy law in Amazon, Microsoft rulings",1
859,India's fuel demand rose 0.8 pct y/y in October,0
149,Amazon workers eligible to hold union election at New York warehouse -NLRB,1
616,German union calls four-day strike at Amazon sites ahead of Easter,1
251,Amazon faces more than slowing sales growth: it needs more warehouses,1
34,UK's Johnson discussed taxation with Amazon's Bezos,1
704,"Analysis-Despite client shift to 'multicloud', Amazon notches up sunny sales",1
13,Amazon surges with record $190 billion gain in value,1
711,India's January fuel sales hit by COVID curbs - preliminary data,0
861,Japan's Osaka Gas enters India's urban gas distribution market,0
523,Amazon labor conditions under scrutiny by California lawmakers,1
662,UPDATE 2-Amazon halts ban on UK-issued Visa credit cards,1
830,Investcorp eyes India private equity growth and capital boost for online retailer,0
888,EXPLAINER-How Amazon's battle with Reliance for India retail supremacy became a legal jungle,1
659,Amazon GC's pay topped $17 million in high-stakes year,1
308,"U.S. Senator Warren urges Amazon breakup, India retailers want probe after Reuters story",1
162,Amazon and Apple handed $225 million in Italian antitrust fines,1
451,UPDATE 1-Amazon prices French soccer channel at 12.99 euros per month,1
601,"EXCLUSIVE-Amazon seeking to settle EU antitrust investigations, sources say",1
448,"FACTBOX-India's 10 biggest ever IPOs, led by Paytm",0
1224,Amazon biome hurtles toward death spiral as deforestation jumps in 2020,1
420,India says U.S. willing to collaborate to achieve green energy goals,0
850,"Indian agency seeks information, documents from Amazon amid probe: source",1
1389,Amazon union drive facing long odds as final votes counted,1
376,Amazon loses bid to stop New York from probing COVID-19 standards,1
1172,Parler loses bid to require Amazon to restore service,1
695,India's Modi offers help in peace efforts over Ukraine crisis,0
850,India's Gennova developing Omicron-specific COVID-19 vaccine,0
1463,Factbox: Amazon's movie and TV projects,1
239,Amazon seen triumphing over Apple privacy changes in digital ad business,1
1320,"UPDATE 1-Amazon Flex, Bolt and Ola criticised for failing to ensure minimum wage",1
1006,India's January fuel sales hit by COVID curbs - preliminary data,0
1398,Amazon jumps into restaurant delivery in Seattle,1
1166,Scientists warn of bad year for fires in Brazil's Amazon and wetlands,1
502,India's top steelmakers seek federal funds to cut carbon emissions,0
403,"India reports 46,164 new COVID-19 cases in last 24 hours",0
297,Five U.S. lawmakers accuse Amazon of possibly lying to Congress following Reuters report,1
1054,"US STOCKS-Wall Street shakes off Amazon, Apple weakness to end modestly higher",1
352,U.S. lawmakers: Amazon has a last chance to give honest answers on business practices -CNN interview,1
767,CORRECTED-UPDATE 1-India says to auction 5G airwaves this year,0
1004,India's Omicron wave may intensify in coming weeks -experts,0
289,"India's Future Retail must take part in Amazon dispute arbitration, Singapore panel says",1
296,India to resume scheduled international flights from March 27,0
249,France says to work with India to promote multilateral order,0
1134,Amazon workers meet requirements to hold union election at New York warehouse -NLRB,1
528,"India's interests come before vaccine exports, says health ministry",0
148,EXCLUSIVE-Indian agency seeks documents from Future on disputed Amazon deal,1
925,India 'prepares for the worst' ahead of possible COVID-19 third wave,0
7,"Amazon to create 1,500 jobs in UAE this year",1
513,Amazon hires Twitter executive to tackle diversity challenges,1
419,Amazon to invest $3 billion to open data centres in Spain in 2022,1
570,"Amazon, union tussle over identifying witnesses as U.S. labor board starts hearing",1
248,Teamsters votes to support and fund Amazon workers,1
268,FEATURE-Amazon tribe suffers mercury contamination as illegal mining spreads,1
365,Amazon and India's Future agree to talks after the U.S. retailer offers olive branch,1
407,Amazon scores big win as India court stalls Future's $3.4 billion retail deal,1
1495,BRIEF-Nuheara announces partnerships with Amazon and Brookstone,1
245,Explosion at firecracker factory kills six women in India,0
1062,"UPDATE 1-Amazon offers new data tool to help carmakers prevent recalls, improve safety",1
465,Analysis-Amazon's Washington critics set to pounce on MGM deal,1
582,BP's venture capital arm looks to India in clean mobility drive,0
66,Amazon to shut its bookstores and other shops as its grocery chain expands,1
1492,Amazon partners with HTC to make smartphones: report,1
726,India will ensure steady coking coal cargoes to allay supply concerns,0
252,China expresses serious concerns on India banning Chinese apps,0
611,Demoted Amazon police chief turns to song to save the rainforest,1
1002,India to announce scheduled international flights resumption 'in due course',0
554,"Dish gets Amazon on board to build 5G network, to launch in Las Vegas",1
602,BP-Reliance JV starts selling multiple fuels in India,0
630,India's Future Retail asks court to declare arbitration with Amazon illegal,1
606,"New York accuses Amazon of backsliding over worker safety, seeks monitor",1
834,"UPDATE 1-Australian regulator to probe Amazon, eBay among online markets",1
380,Teamsters union steps up efforts to organize Amazon workers,1
1291,Exclusive: India plans foreign investment rule changes that could hit Amazon,1
186,UK aims to start trade talks with India this year,0
1570,"Amazon to add over 2,000 jobs in Britain this year",1
87,CORRECTED-Amazon services down for multiple users - Downdetector,1
447,"India ""disturbed"" by verdict against Myanmar's Aung San Suu Kyi",0
562,India antitrust body accepts Google's confidentiality request - judge,0
1027,India planning financial support for setting up hydrogen manufacturing plants,0
441,India seeks to move coal to areas of shortage as power demand rises,0
1106,WIDER IMAGE-Besieged Amazon tribes grant rare access to Xingu chief’s funeral rites,1
278,Tata regains Air India control in privatisation victory for Modi,0
1269,Indian stock exchanges clear Future-Reliance deal in setback for Amazon,1
1532,Amazon acquires Indian payments processor Emvantage,1
690,Google suing India antitrust watchdog for investigation report leak,0
805,"India court quashes Amazon, Walmart's Flipkart bid to stall antitrust probe",1
955,UPDATE 1-U.S. antitrust enforcer advancing probe into Amazon's cloud unit -Bloomberg News,1
32,Tata appoints N Chandrasekaran as Air India chairman,0
954,India says government panel looking into new Delta subvariant,0
834,India vaccinates 3.8 million teens in new COVID-19 inoculation push,0
1104,U.S. judge ends Amazon challenge to $10 bln cloud contract after Pentagon cancellation,1
782,"U.S. opens safety probe into Mercedes vans used for Amazon deliveries, ambulances",1
592,Coal India starts project to replace diesel with LNG in dumpers,0
881,"India reports 40,120 new COVID-19 cases in last 24 hours",0
919,India defers plans to hike tax rates on textiles - finance minister,0
565,EXCLUSIVE-U.S. trade official called India's Mastercard ban 'draconian'-emails,0
576,"UPDATE 2-India sees impact of Omicron blunted by vaccination, prior infections",0
970,India to tighten COVID-19 testing for tourists amid new variant concerns,0
692,"Analysis-Despite client shift to 'multicloud', Amazon notches up sunny sales",1
310,Russia hopes to supply India with more S-400 missile systems -Ifx,0
771,Country Music Awards moves from broadcast TV to streaming on Amazon,1
166,Amazon to take team-wise approach on remote work policy,1
876,"With flowers and salutes, last respects paid to India's defence chief",0
1135,"US STOCKS-Glum Amazon earnings set to weigh on Nasdaq, S&P 500",1
140,"Amazon to hire 150,000 U.S. workers for holiday shopping season",1
916,India's September WPI inflation eases to 10.66% y/y,0
769,India's tax revenues likely to beat forecast on strong recovery - officials,0
837,"Vaccine hesitancy big threat for India, says top vaccine maker SII",0
229,India seen boosting budget spending on infrastructure,0
737,Games-India withdraw hockey teams from Commonwealth Games in Birmingham,0
1423,"Amazon launches Amazon Dash for delivery of groceries, household items",1
92,Amazon wins EU antitrust nod for $8.5 billion MGM deal,1
1448,Amazon shares fall as outlook disappoints,1
247,Eighteen killed in India as truck slams into overcrowded bus,0
661,Singapore hopes India ban on Sea's game can be resolved quickly,0
944,India reports smallest rise in COVID-19 deaths since mid-March,0
210,Amazon plans to open large physical retail stores in U.S. - WSJ,1
126,"India reduces excise duty on petrol, diesel - source",0
577,Amazon-owned Twitch down for many users,1
679,"IBM, Amazon partner to extend reach of data tools for oil companies",1
1017,CORRECTED-REUTERS NEXT-Jewellery maker Pandora has no plans to join platforms like Amazon or Farfetch -CEO,1
730,India MRPL seeks to replace ADNOC oil with Saudi grade in Mangalore SPR,0
1202,UPDATE 3-Amazon extends moratorium on police use of facial recognition software,1
1533,Amazon's cloud service back up after widespread outage,1
755,Ford's India factory workers seek government help to safeguard jobs,0
1561,"Amazon strikes deal with Apple to sell iPhones, iPads",1
455,"Coal India warned government of coal shortage in February, documents show",0
107,"India reports 45,352 new COVID-19 infections",0
572,U.S. hopes India will distance itself from Russia after Ukraine invasion,0
404,SPECIAL REPORT-Is the Amazon near a tipping point? Three real-world studies are ominous,1
1209,"Shell, Mitsubishi unit Eneco to supply wind power to Amazon's European facilities",1
28,India says climate commitments ambitious yet achievable,0
1400,"Amazon launches Amazon Dash for delivery of groceries, household items",1
1187,"Gold miners attack indigenous village in Amazon, clash with police",1
1624,Amazon expands local services marketplace in U.S. cities,1
938,Amazon-backed Rivian in talks with ministers over UK factory -Sky News,1
1153,Drug trafficker's death triggers vandalism in Amazon city of Manaus,1
508,"India reports 46,164 new COVID-19 cases in last 24 hours",0
202,"Drying Amazon rainforest closer to 'tipping point', scientists warn",1
136,"Omicron spreads in India, full vaccination in focus",0
1020,UPDATE 3-Amazon-backed EV maker Rivian discloses nearly $1 bln losses in IPO filing,1
552,Angry Indian traders counter Amazon summit with own event,1
518,"India says Omicron may be less severe due to vaccination, prior infections",0
1442,Amazon's Lab126 expands in Silicon Valley,1
1326,Amazon names Adam Selipsky to lead AWS,1
1327,Boxed in: French activists protest against Amazon's expansion,1
851,India's antitrust body orders Google inquiry after news publishers complain,0
261,"FTC to review Amazon deal for MGM, source says",1
1003,"India reports first Omicron cases, no plan to authorise boosters",0
438,India's microfinance sector hit as defaults surge in pandemic,0
285,"UK foreign minister to discuss security, defence ties with India",0
80,U.S. labor board sets dates for union vote at Amazon warehouse in Alabama,1
77,Mercedes-Benz to assemble flagship electric sedan in India,0
738,Brazil renews protection of little-seen Amazon tribe for six months,1
104,India says it accidentally fired missile into Pakistan,0
47,"Amazon drivers get $60 million in withheld tips back, FTC says",1
526,IKEA malls business to invest around $1.2 billion in India - executive,0
87,India's September vehicle sales hit by chip shortage,0
1091,Endangered lungs: Forest fire smoke threatens COVID-recovering Amazon communities,1
1244,"Amazon set to launch in Poland, shares in local Allegro fall",1
119,"FTC extends probe of Amazon, MGM deal - source",1
948,EXCLUSIVE-Amazon considers more proactive approach to determining what belongs on its cloud service,1
131,"Italy's antitrust recalculates Apple, Amazon fines after ""material error""",1
1396,BRIEF-Amazon Launches International Shopping Experience In Amazon Shopping App,1
753,Amazon-backed startup Rivian starts production of electric pickup truck,1
432,"India to expedite Amazon, Flipkart antitrust probe as tech focus intensifies - sources",1
1550,Amazon unveils effort to develop original TV shows,1
1361,"Brazil must show Amazon protection is working, top donor Norway says",1
862,GameStop lures Amazon talent with grand plans and no frills,1
105,India to focus on fiscal consolidation and capital spending - adviser,0
808,Amazon SVP Jeff Blackburn is departing the company Tuesday,1
221,Tribes launch bid to protect Amazon forest at global conservation forum,1
53,"India reports 45,352 new COVID-19 infections",0
206,Growth in India's services activity picked up in Feb,0
732,"India's new COVID-19 cases hit seven-month high of 141,986",0
556,"Dish gets Amazon on board to build 5G network, to launch in Las Vegas",1
945,EXCLUSIVE-Amazon to proactively remove more content that violates rules from cloud service -sources,1
1199,"UPDATE 3-Walmart's Flipkart, Amazon challenge India court order on antitrust probe",1
624,UPDATE 1-U.S. court dismisses D.C. antitrust lawsuit against Amazon,1
263,Blinken to visit India with vaccines and China in focus,0
1628,Amazon to invest in new logistics centres in Poland,1
686,"India sees impact of Omicron blunted by vaccination, prior infections",0
1479,Amazon partners with HTC to make smartphones - report,1
422,G7 countries devise way to catch Amazon in tax net - sources,1
559,Singapore hopes India ban on Sea's game can be resolved quickly,0
1225,Exclusive: Amazon orders hundreds of trucks that run on natural gas,1
1026,India's Future Retail asks court to declare arbitration with Amazon illegal,0
371,BRIEF-Amazon Says No Factual Basis For U.S. Lawmakers Referring Co To DOJ For Investigation,1
583,Rubio brings bipartisan support to Amazon union push,1
232,"Amazon, Whole Foods can be sued by murderer rejected for delivery job",1
345,"SPECIAL REPORT-Amazon copied products and rigged search results to promote its own brands, documents show",1
885,EXCLUSIVE-Amazon-backed Rivian confirms plan for second U.S. assembly plant,1
1052,FEATURE-Brazil faces economic pain as Amazon forest destruction dries up water supplies,1
553,"Ford reconsiders India after halting production, this time for EVs",0
368,Amazon scoops up exclusive rights to celebrity podcast 'SmartLess',1
1188,"Bollywood, streaming giants on edge as Amazon gets flak for hurting religious beliefs in India",1
50,Amazon discloses 20% stake in EV maker Rivian,1
1461,Amazon workers in Germany strike on 'Prime Day',1
511,9th Circ won't revive Amazon's arbitration bid in wiretap case,1
81,"India reports 41,965 new COVID-19 cases",0
874,"India reports 15,906 new COVID-19 cases in last 24 hours",0
542,"Netflix slashes India prices in battle with Disney, Amazon",1
174,"After talks with India's Future fail, Amazon goes on the attack in newspaper ads",1
724,"Amazon shortens COVID isolation, paid leave for U.S. workers",1
968,Amazon's 2nd union vote in New York set for late April - U.S. labor board,1
485,Amazon wins $303 million court fight in blow to EU tax crusade,1
554,Challenges abound as Tata draws up a flight plan for Air India,0
154,Amazon lifts mask mandate for fully vaccinated U.S. warehouse workers- source,1
200,"India's criticism of Infosys, Tata worries businesses",0
903,"Crop sowing lags in India on scanty rains, raises concerns over yields",0
400,"Amazon offers new data tool to help carmakers prevent recalls, improve safety",1
780,India's Future Retail takes Reliance deal saga to Supreme Court,0
1171,Amazon seeks to halt union election at Alabama warehouse,1
247,Amazon’s lax policy on waste belongs in the bin,1
573,U.S. Pentagon mulls ending JEDI cloud project amid Amazon court battle - WSJ,1
239,India's top carmaker sees hydrogen as 'interesting alternative',0
1180,US STOCKS-Wall Street falls with Amazon; S&P 500 posts sixth straight month of gains,1
275,Amazon delays office return until January as COVID-19 cases surge,1
736,"India's Maharashtra hopes to persuade Amazon, Uber, others to go electric faster",1
6,"Amazon to create 1,500 apprenticeships in UK in 2022",1
578,"India reports 46,164 new COVID-19 cases in last 24 hours",0
339,Exclusive-Amazon to secure unconditional EU approval for $8.5 billion MGM buy - sources,1
666,UPDATE 1-Gold rush draws hundreds of dredging rafts to Amazon tributary,1
1616,Amazon considering paying people to deliver packages: WSJ,1
594,Amazon's healthcare business has landed Hilton as a key customer,1
1043,Amazon-owned Twitch says source code exposed in last week's data breach,1
749,Amazon's pricey 'Lord of the Rings' TV series to launch Sept 2022,1
1191,"ANALYSIS-Property, cash and Amazon: Why buyout firms are battling to buy UK’s Morrisons",1
114,EXPLAINER-Why is India facing a coal shortage?,0
983,UPDATE 1-Teamsters union steps up efforts to organize Amazon workers,1
319,India court orders antitrust body to rule on Amazon-Future dispute within two weeks,1
284,Latin American oil gains ground in India at Mideast expense - data,0
1476,Amazon brings macOS to cloud in a boost to Apple app developers,1
96,India's monsoon rains forecast to be above average in September,0
1583,Breakingviews - Amazon bank creates more problems than it solves,1
351,UPDATE 3-U.S. labor board sets dates for union vote at Amazon warehouse in Alabama,1
133,"Amazon announces 20-for-1 stock split, $10 billion share buyback",1
196,Growth in India's services activity picked up in Feb,0
1042,UPDATE 1-Amazon shuts down cloud infrastructure linked to Israeli firm NSO - Vice,1
391,India says U.S. willing to collaborate to achieve green energy goals,0
311,"Moscow, Delhi sign deal to produce Kalashnikov assault rifles in India",0
248,France says to work with India to promote multilateral order,0
587,India plans to produce 5 million tonnes of green hydrogen by 2030,0
162,"Review of India's Covaxin shot underway, WHO says",0
824,Amazon partners with Disney to launch voice assistant at home and resorts,1
826,"India's oil imports from U.S. to rise, amid criticism for Russian purchases",0
1047,"UPDATE 1-Amazon's cloud unit launches new chips to take on Intel, Nvidia",1
426,India's release of 5 million bbls oil from stockpile a 'symbolic gesture',0
1425,Amazon to start restaurant deliveries in London,1
1095,3rd Circuit poised to kick Amazon arbitration dispute with drivers back to district court,1
602,Demoted Amazon police chief turns to song to save the rainforest,1
638,India's cental bank to adjust private bank ownership rules,0
634,India tells public to shun Musk-backed Starlink until it gets licence,0
799,Bezos says Amazon needs to do better for employees in last investor letter as CEO,1
1433,Ex-French minister sneers at Amazon executive's justification of tax bill,1
144,India says it accidentally fired missile into Pakistan,0
993,India's gasoline demand seen hitting record as COVID curbs ease,0
414,"Indian court deals blow to Amazon, Walmart's Flipkart in antitrust case",1
952,WhatsApp says hires former Amazon executive Mahatme to lead India payments,1
1420,BRIEF-Amazon's AWS says Amazon S3 service is operating normally,1
893,"Twitter reinstates accounts of India's Rahul Gandhi, other opposition leaders",0
58,"India reports 36,401 new COVID-19 infections",0
733,"India's new COVID-19 cases hit seven-month high of 141,986",0
205,"India reports 38,353 new COVID-19 infections",0
180,India's coal and electricity shortages ease: Kemp,0
289,UK says India's UN vote swayed by dependence on Russia,0
1331,India's Future likens Amazon's bid to stall retail deal to 'ruthless' Alexander the Great,1
1497,BRIEF-Getswift Signs Global Agreement With Amazon,1
218,"TotalEnergies, Amazon form partnership on electricity supply and online strategy",1
1282,UPDATE 1-France's BNP to stop financing customers using converted Amazon forest land,1
978,India announces measures to shore up telecoms sector; respite for Vodafone Idea,0
209,"Amazon, top Indian seller Cloudtail end relationship amid regulatory heat",1
386,BP's venture capital arm looks to India in clean mobility drive,0
469,"India's output, exports of Russia's Sputnik vaccine at risk due to Ukraine crisis",0
500,India's October crude imports stay elevated as consumption rebounds,0
1266,Amazon faces class-action lawsuit over eBook pricing,1
1410,BRIEF-Amazon's AWS says Amazon S3 service is operating normally,1
146,"UPDATE 3-Japan investigating Amazon cloud disruptions to brokers, airline",1
735,Japan's Osaka Gas enters India's urban gas distribution market,0
1635,Amazon to open shipping centre in Czech Republic: report,1
389,German union calls for Amazon workers to strike on 'Prime Day',1
15,"India reports 42,766 coronavirus cases",0
973,"Affirm expands Amazon partnership as buy now, pay later surge lifts revenue",1
1197,"India plans tighter e-commerce rules amid complaints over Amazon, Flipkart",1
271,Scatec and ACME put $400 million India solar development on hold,0
234,"Investigation opened into Amazon warehouse collapse in Illinois, says labor official",1
1036,CORRECTED-Uber to allow users to book rides via WhatsApp in India,0
1261,Capital Calls: Amazon EU tax win belongs to the past,1
393,"As Omicron looms, Amazon caps how many COVID-19 tests shoppers can buy",1
953,India says government panel looking into new Delta subvariant,0
999,"RPT-Schiff presses Facebook, Amazon on efforts to curb COVID-19 vaccine misinformation",1
348,UPDATE 2-India to auction 5G airwaves in 2022 in boost to tech economy,0
1110,Amazon likely to see $425 million EU privacy fine - WSJ,1
36,India's trade minister to meet Chinese counterpart on Tuesday,0
604,CORRECTED-UPDATE 1-Amazon surges with record $190 billion gain in value,1
541,Biden singles out Amazon for not paying federal taxes,1
759,UPDATE 1-Foxconn India factory workers hospitalised after food poisoning,0
918,Amazon to grant new CEO Jassy over $200 million in stock,1
463,India's 'captive' coal mines to be allowed to sell 50% output,0
774,Late monsoon floods kill more than 150 in India and Nepal,0
436,Exclusive-India watchdog accuses Amazon of concealing facts in deal for Future Group unit,1
707,Brazil's greenhouse gas emissions rose 9.5% in 2020 with Amazon deforestation -study,1
698,"India merger of Sony, Zee to create TV powerhouse challenging Disney",0
326,"Amazon agrees to NYC union election terms, setting stage for two votes in March",1
1409,"BRIEF-Parler Sues Amazon For Antitrust Violation, Breach Of Contract And Unlawful Business Interference - Hill Reporter Tweet",1
1435,Amazon renews streaming deal with NFL,1
533,Amazon reveals 'Lord of the Rings' subtitle that hints at storyline,1
469,Amazon Ring's neighborhood watch app is making police requests public,1
361,RPT-EXCLUSIVE-Indian agency seeks documents from Future on disputed Amazon deal,1
362,India says doors open to Afghan's Sikh and Hindu minorities,0
1243,"Amazon, Google execs lead U.S. Senate panel antitrust hearing witness list",1
624,"India's new COVID-19 cases jump 57% in a day to 90,928",0
29,Britain and India to formally launch trade talks,0
884,"U.S. regulator sues Amazon, demands recall of hazardous products",1
1015,"Amazon, Walmart's Flipkart must face India antitrust probe, top court says",1
821,REUTERS NEXT-UN plans to drastically expand plastic waste management in India,0
488,"EXCLUSIVE-India to expedite Amazon, Flipkart antitrust probe as tech focus intensifies -sources",1
141,Oracle partners with India's Airtel in boost for cloud business,0
1302,"UPDATE 1-Amazon first-quarter sales beat expectations, shares rise",1
676,India's Maharashtra state bats for Tesla over import tax on EVs,0
212,"Amazon shortens COVID isolation, paid leave for U.S. workers",1
597,German labour union calls for strikes at seven Amazon locations,1
1284,Connecticut probes Amazon's digital books business for anti-competitive behavior,1
1118,"Exclusive: Amazon deployed secret strategy to dodge India's regulators, documents show",1
193,Australian state sets minimum pay for Amazon contractors in landmark step,1
